factor,target,group,mean,median,std,count,win_rate,monotonic,spread
amount,ret_20,Q4,0.004939278175434633,-0.0152339499455929,0.16978140609747086,21055,0.4445499881263358,True,0.04827483130146752
amount,ret_20,Q5,-0.0034925754293730848,-0.0290360046457607,0.18548012510768422,21055,0.406839230586559,True,0.04827483130146752
atr_raw,hold_ret,Q1,0.015967901133863278,-0.013022717679691235,0.11884608643460665,18252,0.41031119877273725,True,0.016413517815334334
atr_raw,hold_ret,Q2,0.014459107955904339,-0.018248175182481792,0.1440894306180678,18251,0.3954851788943072,True,0.016413517815334334
atr_raw,hold_ret,Q3,0.013543680810342063,-0.021021021021020894,0.13363296969463143,18251,0.39214289627965593,True,0.016413517815334334
atr_raw,hold_ret,Q4,0.00899489676745596,-0.027042253521126786,0.1382094308856298,18251,0.3719796175552025,True,0.016413517815334334
atr_raw,hold_ret,Q5,-0.00044561668147105675,-0.03979076964803053,0.1483053148336034,18252,0.3360727591496822,True,0.016413517815334334
atr_raw,ret_5,Q1,0.011865590315299055,0.0,0.07605876528160041,18257,0.4901133811688667,True,0.00975918675637515
atr_raw,ret_5,Q2,0.009180626226958992,-0.0009891196834816,0.08414583182813833,18257,0.48518376513118255,True,0.00975918675637515
atr_raw,ret_5,Q3,0.008695008227677112,-0.0013210039630119,0.09095097758559374,18257,0.48611491482718955,True,0.00975918675637515
atr_raw,ret_5,Q4,0.006005608520168804,-0.0036420395421435,0.0963629695411223,18257,0.47313359259462123,True,0.00975918675637515
atr_raw,ret_5,Q5,0.0021064035589239056,-0.0076997112608278,0.1058134578020015,18257,0.45456537218601084,True,0.00975918675637515
atr_raw,ret_10,Q1,0.014310933628764276,0.0033821871476888,0.09734280327548293,18187,0.5182273052180129,False,0.011023940022832177
atr_raw,ret_10,Q2,0.011867387372311897,0.0023557126030624,0.11189085820814627,18187,0.5120140759883434,False,0.011023940022832177
atr_raw,ret_10,Q3,0.012104667682135382,0.0013262599469496,0.12241256636340228,18187,0.5062957057238687,False,0.011023940022832177
atr_raw,ret_10,Q4,0.010093075118411819,-0.0017714791851195,0.12606840700325536,18187,0.4890856106009787,False,0.011023940022832177
atr_raw,ret_10,Q5,0.0032869936059321007,-0.010758377425044,0.14097393612302125,18187,0.4558200912739869,False,0.011023940022832177
atr_raw,ret_20,Q1,0.027690370523063543,0.0078431506568424,0.14776626160289763,18024,0.5341766533510874,True,0.025567973633757696
atr_raw,ret_20,Q2,0.02339223096903044,0.0061538461538461,0.17533020734564803,18024,0.5231913004882379,True,0.025567973633757696
atr_raw,ret_20,Q3,0.020186491972448567,0.0030643513789583,0.16697356508028072,18023,0.5104588581257282,True,0.025567973633757696
atr_raw,ret_20,Q4,0.0152426151915882,-0.004647432302998,0.1746200734496147,18024,0.48379937860630273,True,0.025567973633757696
atr_raw,ret_20,Q5,0.002122396889305847,-0.022994233337969003,0.18858548939110956,18024,0.4368619618286729,True,0.025567973633757696
body_to_range,hold_ret,Q1,0.00902948480810655,-0.014274981217130073,0.13457373171262635,21283,0.34684959827092043,False,0.009685409271006681
body_to_range,hold_ret,Q2,0.004053427917525655,-0.01849108048929638,0.11271329330727038,21286,0.3485389457859626,False,0.009685409271006681
body_to_range,hold_ret,Q3,0.004980473642236666,-0.0206300772759703,0.11891225828126935,21330,0.3492733239568683,False,0.009685409271006681
body_to_range,hold_ret,Q4,0.007410070183549308,-0.020657817109144497,0.11949174490220346,21230,0.3620819594912859,False,0.009685409271006681
body_to_range,hold_ret,Q5,0.013738837188532336,-0.017805708300602244,0.15109106090174287,21283,0.38678757693934124,False,0.009685409271006681
body_to_range,ret_5,Q1,0.003482696677968628,-0.00477563815866245,0.08750579634151154,21288,0.45307215332581735,False,0.012363493516820477
body_to_range,ret_5,Q2,0.0013398326157852843,-0.00441663659387425,0.08170630734367473,21288,0.4541055993987223,False,0.012363493516820477
body_to_range,ret_5,Q3,0.0011029411403525719,-0.0045636052481461,0.08083367246940343,21333,0.4541320958139971,False,0.012363493516820477
